,時間,ソアリン,トイ・ストーリ・マニア,タワー・オブ・テラー,センター・オブ・ジアース,インディジョーンズ,レイジングスピリッツ,マジックランプシアター,タートル・トーク,海底２万マイル,ヴェネツィアン・ゴンドラ,ニモ＆フレンズ・シーライダ,アクアトピア,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストーリーブック,フランダーのフライングフィッシュ,スカットルのスクーター,ブローフィッシュバルーン,ワールプール,ジャンピン・ジェリーフィッシュ,スチーマーライン(フロント),スチーマーライン(ロスト),スチーマーライン(ハーバー),レールウェイ(フロント),スチーマーライン(ポート),ビッグシティ・ヴィークル,曜日_数値,休日
159,2021-02-04 12:45:00,0,5,5,5,5,5,30,5,0,5,10,0,5,5,5,5,5,5,5,5,0,0,0,0,0,5,3,0
160,2021-02-04 13:00:00,0,5,5,5,5,5,15,5,0,0,10,0,5,5,5,5,5,5,5,5,0,0,0,0,0,5,3,0
161,2021-02-04 13:15:00,0,10,5,5,5,5,30,5,0,0,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,3,0
162,2021-02-04 13:30:00,0,5,5,5,5,5,20,5,0,5,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,3,0
163,2021-02-04 13:45:00,0,5,5,5,5,10,5,10,0,5,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,3,0
164,2021-02-04 14:00:00,0,5,5,5,5,15,20,5,0,5,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,3,0
165,2021-02-04 14:15:00,0,5,5,5,10,15,5,10,0,5,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,3,0
166,2021-02-04 14:30:00,0,5,5,5,25,10,25,10,0,5,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,3,0
167,2021-02-04 14:45:00,0,10,5,5,20,15,10,5,0,5,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,3,0
168,2021-02-04 15:00:00,5,5,5,5,5,10,30,10,0,5,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,3,0
169,2021-02-04 15:15:00,5,5,5,5,5,10,15,5,0,5,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,3,0
170,2021-02-04 15:30:00,10,5,5,5,5,10,30,5,0,5,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,3,0
171,2021-02-04 15:45:00,5,5,5,5,5,10,20,5,0,5,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,3,0
172,2021-02-04 16:00:00,5,5,5,5,5,10,5,10,0,10,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,3,0
173,2021-02-04 16:15:00,5,5,5,5,5,15,30,5,0,15,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,3,0
174,2021-02-04 16:30:00,5,5,5,5,5,10,5,10,0,15,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,3,0
175,2021-02-04 16:45:00,5,5,5,5,5,10,25,10,0,20,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,3,0
176,2021-02-04 17:00:00,5,5,5,5,5,10,10,10,0,20,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,0,3,0
177,2021-02-04 17:15:00,5,5,5,5,5,5,30,10,0,15,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,0,3,0
178,2021-02-04 17:30:00,5,10,5,5,5,5,15,20,0,15,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,0,3,0
179,2021-02-04 17:45:00,5,10,10,10,5,5,5,5,0,15,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,0,3,0
180,2021-02-04 18:00:00,5,10,15,15,5,5,20,0,0,15,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,0,3,0
181,2021-02-04 18:15:00,5,10,15,15,5,5,5,0,0,15,10,0,5,5,5,5,5,5,5,5,5,5,5,0,0,0,3,0
182,2021-02-04 18:30:00,10,10,20,10,5,5,5,0,0,10,10,0,5,5,5,5,5,5,5,5,0,5,0,0,0,0,3,0
183,2021-02-04 18:45:00,10,10,0,5,0,5,5,0,0,10,0,0,5,0,0,5,5,5,5,5,0,5,0,0,0,0,3,0
